Spelling_540,She wore gold,jewellry to the,party on Saturday,night.,B,Error: 'jewellry' should be 'jewellery' (lle).,,,6,51,17
Spelling_541,His knowlege of,history dates is,very impressive,indeed.,A,Error: 'knowlege' should be 'knowledge' (led).,,,7,53,16
Spelling_542,The chemistry labratory,is used for,science lessons,daily.,A,Error: 'labratory' should be 'laboratory' (orator).,,,6,55,23
Spelling_543,The french language,is spoken in,France and other,places.,N,No error.,,,7,54,19
Spelling_544,I have liesure,time at the,weekend to play,games.,B,Error: 'liesure' should be 'leisure' (ei).,,,6,46,15
Spelling_545,Measure the lenth,of the table,with a tape,measure.,B,Error: 'lenth' should be 'length' (gth).,,,8,48,17
Spelling_546,He acts as,a liason between,the two big,groups.,B,Error: 'liason' should be 'liaison' (iai).,,,7,44,16
Spelling_547,I went to,the libary to,borrow a new,book.,B,Error: 'libary' should be 'library' (brary).,,,5,39,13
Spelling_548,The lightening struck,the roof during,the heavy storm,tonight.,A,Error: 'lightening' should be 'lightning' (ning).,,,8,59,21
Spelling_549,He literally jumped,for joy when,he heard the,news.,N,No error.,,,5,48,19
Spelling_550,Did you loose,your pen in,the classroom,today?,B,Error: 'loose' should be 'lose' (one o).,,,6,43,13
Spelling_551,Regular car maintainance,is needed to,keep it safe,running.,A,Error: 'maintainance' should be 'maintenance' (ten).,,,8,56,24
Spelling_552,The view was,marvellous from the,top of the,tower.,N,No error.,,,6,47,19
Spelling_553,The doctor's medecine,tasted horrible but,it worked very,well.,A,Error: 'medecine' should be 'medicine' (dic).,,,5,59,21
Spelling_554,The sheep grazed,in the green,medow near the,river.,C,Error: 'medow' should be 'meadow' (ead).,,,6,48,16
Spelling_555,The year 2000,marked a new,millenium for the,world.,C,Error: 'millenium' should be 'millennium' (nn).,,,6,48,17
Spelling_556,He collects minature,cars and keeps,them on a,shelf.,A,Error: 'minature' should be 'miniature' (nia).,,,6,49,20
Spelling_557,The kitten is,mischevious and likes,to climb the,curtains.,B,Error: 'mischevious' should be 'mischievous' (vous).,,,9,55,21
Spelling_558,A box of,misellaneous items was,left in the,hall.,B,Error: 'misellaneous' should be 'miscellaneous' (sc).,,,5,46,22
Spelling_559,Do not miss,the bus or,you will be,late.,N,No error.,,,5,37,11
Spelling_560,My arm muscle,hurts after playing,tennis all day,long.,N,No error.,,,5,51,19
Spelling_561,It was a,misterious sound in,the middle of,night.,B,Error: 'misterious' should be 'mysterious' (mys).,,,6,46,19
Spelling_562,It is necessary,to wear a,helmet when you,cycle.,N,No error.,,,6,45,15
Spelling_563,It is neccessary,to arrive on,time for the,exam.,B,Error: 'neccessary' should be 'necessary' (cess).,,,5,45,16
Spelling_564,My next door,neigbour has a,loud barking dog,often.,B,Error: 'neigbour' should be 'neighbour' (ghb).,,,6,48,16
Spelling_565,My sister's daughter,is my favorite,neice in the,family.,C,"Error: 'neice' should be 'niece' (ie). Also 'favorite' in B is US spelling, but C is the target error.",,,7,53,20
Spelling_566,Neither of the,boys knew the,answer to the,question.,N,No error.,,,9,49,14
Spelling_567,There are ninty,people in the,hall waiting for,us.,A,Error: 'ninty' should be 'ninety' (nety).,,,3,47,16
Spelling_568,There was a,noticable chill in,the air this,evening.,B,Error: 'noticable' should be 'noticeable' (cea).,,,8,49,18
Spelling_569,The noise is,a real nuesance,when I am,sleeping.,B,Error: 'nuesance' should be 'nuisance' (ui).,,,9,45,15
Spelling_570,The dog is,very obedient and,always sits when,told.,N,No error.,,,5,48,17
Spelling_571,On this occassion,we will go,to the beach,instead.,B,Error: 'occassion' should be 'occasion' (casion).,,,8,47,17
Spelling_572,The accident occured,late at night,on the icy,road.,B,Error: 'occured' should be 'occurred' (rr).,,,5,48,20
Spelling_573,It will not,occur again if,you are more,careful.,N,No error.,,,8,45,14
Spelling_574,I often go,swimming at the,pool on the,weekend.,N,No error.,,,8,44,15
Spelling_575,Do not omit,any details from,your story please,now.,N,No error.,,,4,48,17
Spelling_576,Black is the,oppisite of white,on the colour,chart.,B,Error: 'oppisite' should be 'opposite' (osi).,,,6,48,17
Spelling_577,This is the,origional painting not,a copy of,it.,B,Error: 'origional' should be 'original' (gi).,,,3,45,22
Spelling_578,The lines are,paralel and will,never cross each,other.,B,Error: 'paralel' should be 'parallel' (lle).,,,6,51,16
Spelling_579,The houses of,parlament are in,London near the,river.,B,Error: 'parlament' should be 'parliament' (rli).,,,6,50,16
Spelling_580,Not a single,partical of dust,remained on the,shelf.,B,Error: 'partical' should be 'particle' (cle).,,,6,49,16
Spelling_581,Is there a,particuler reason for,your lateness today,please?,B,Error: 'particuler' should be 'particular' (lar).,,,7,57,21
Spelling_582,You need patience,to finish a,hard jigsaw puzzle,fast.,N,No error.,,,5,51,18
Spelling_583,The cricket pavillion,is painted white,and green every,year.,B,Error: 'pavillion' should be 'pavilion' (vil).,,,5,57,21
Spelling_584,Many people like,to watch football,on the TV,screen.,N,No error.,,,7,49,17
Spelling_585,You must be,persistant to reach,your goals in,life.,B,Error: 'persistant' should be 'persistent' (ent).,,,5,48,19
Spelling_586,The office personnel,are very helpful,and friendly to,visitors.,N,No error.,,,9,60,20
Spelling_587,I tried to,persuade him to,change his mind,today.,N,No error.,,,6,46,15
Spelling_588,Manual labour is,physicle work that,makes you very,strong.,B,Error: 'physicle' should be 'physical' (cal).,,,7,55,18
Spelling_589,Have a peice,of fruit with,your lunch every,day.,B,Error: 'peice' should be 'piece' (ie).,,,4,45,16
Spelling_590,The famous poltician,visited our town,yesterday for a,speech.,B,Error: 'poltician' should be 'politician' (lit).,,,7,58,20
Spelling_591,He is a,very popular boy,in his class,at school.,N,No error.,,,7,45,16
Spelling_592,The ring is,my most prized,posession in the,world.,C,Error: 'posession' should be 'possession' (ssess).,,,6,47,16
Spelling_593,Is it posible,to walk to,the station from,here?,B,Error: 'posible' should be 'possible' (ss).,,,5,44,16
Spelling_594,We grow potatos,and carrots in,our vegetable garden,patch.,B,Error: 'potatos' should be 'potatoes' (oes).,,,6,55,20
Spelling_595,I must practise,my piano scales,every single day,now.,N,No error.,,,4,50,16
Spelling_596,He prefered the,red car to,the blue one,really.,A,Error: 'prefered' should be 'preferred' (rr).,,,7,44,15
Spelling_597,Prejudice is judging,someone before you,know them at,all.,N,No error.,,,4,54,20
Spelling_598,The preperation for,the wedding took,many months of,work.,A,Error: 'preperation' should be 'preparation' (par).,,,5,54,19
Spelling_599,It is a,priviledge to be,captain of the,team.,B,Error: 'priviledge' should be 'privilege' (leg).,,,5,42,16
Spelling_600,Please proceed to,the exit in,an orderly fashion,now.,N,No error.,,,4,50,18
Spelling_601,Teaching is a,proffesion that needs,a lot of,patience.,B,Error: 'proffesion' should be 'profession' (fess).,,,8,51,21
Spelling_602,The science professer,taught at the,university for years,long.,B,Error: 'professer' should be 'professor' (sor).,,,5,59,21
Spelling_603,I watched a,program about lions,on the TV,tonight.,N,"No error (Program is acceptable, though Programme is traditional UK for TV, 11+ often accepts both or focuses on clear errors).",,,8,47,19
Spelling_604,His pronounciation was,very clear and,easy to understand,well.,A,Error: 'pronounciation' should be 'pronunciation' (nun).,,,5,59,22
Spelling_605,The leaflet was,political propoganda for,the election next,week.,B,Error: 'propoganda' should be 'propaganda' (pag).,,,5,61,24
Spelling_606,He announced publically,that he would,retire next year,soon.,B,Error: 'publically' should be 'publicly' (lic).,,,5,57,23
Spelling_607,There was a,queue for tickets,outside the cinema,today.,N,No error.,,,6,52,18
Spelling_608,Please answer the,question clearly and,in full sentences,now.,N,No error.,,,4,58,20
Spelling_609,Keep quiet in,the library while,people are reading,books.,N,No error.,,,6,54,18
Spelling_610,I am quite,sure that I,left it here,yesterday.,N,No error.,,,10,43,12
Spelling_611,I am realy,sorry for being,late to class,today.,B,Error: 'realy' should be 'really' (ll).,,,6,44,15
Spelling_612,Did you recieve,my birthday card,in the post,yet?,B,Error: 'recieve' should be 'receive' (ei).,,,4,46,16
Spelling_613,I recomend that,you try the,pasta dish for,dinner.,A,Error: 'recomend' should be 'recommend' (mm).,,,7,47,15
Spelling_614,He refered the,patient to a,specialist at the,hospital.,A,Error: 'refered' should be 'referred' (rr).,,,9,52,17
Spelling_615,Is this information,relevent to our,current topic of,study?,B,Error: 'relevent' should be 'relevant' (vant).,,,6,56,19
Spelling_616,He is a,very religous person,who prays every,day.,B,Error: 'religous' should be 'religious' (ious).,,,4,46,20
Spelling_617,Please rember to,bring your homework,to school tomorrow,morning.,B,Error: 'rember' should be 'remember' (mem).,,,8,61,19
Spelling_618,The wire's resistence,caused it to,heat up very,quickly.,B,Error: 'resistence' should be 'resistance' (tan).,,,8,53,21
Spelling_619,We went to,a resturant for,my birthday meal,tonight.,B,Error: 'resturant' should be 'restaurant' (aur).,,,8,49,16
Spelling_620,The nursery ryhme,was easy to,learn for the,children.,B,Error: 'ryhme' should be 'rhyme' (rhy).,,,9,50,17
Spelling_621,The drum rythm,was fast and,made us dance,wildly.,B,Error: 'rythm' should be 'rhythm' (rhy).,,,7,46,14
Spelling_622,He made a,sacrifise to save,his friend from,danger.,B,Error: 'sacrifise' should be 'sacrifice' (fice).,,,7,48,17
Spelling_623,The scary movie,frightened the children,late at night,time.,N,No error.,,,5,56,23
Spelling_624,The mountain sceanery,was beautiful in,the winter snow,light.,B,Error: 'sceanery' should be 'scenery' (scen).,,,6,58,21
Spelling_625,Check the bus,schedule to see,when it arrives,here.,N,No error.,,,5,48,15
Spelling_626,The school secratery,works in the,office near the,entrance.,B,Error: 'secratery' should be 'secretary' (ret).,,,9,56,20
Spelling_627,It makes no,sence to argue,about such small,things.,B,Error: 'sence' should be 'sense' (se).,,,7,48,16
Spelling_628,Keep the raw,meat seperate from,the cooked meat,always.,B,Error: 'seperate' should be 'separate' (par).,,,7,52,18
Spelling_629,The army laid,seige to the,castle for six,months.,B,Error: 'seige' should be 'siege' (ie).,,,7,46,14
Spelling_630,He gave a,sincere apology for,his rude words,yesterday.,N,No error.,,,9,52,19
Spelling_631,I am sincerly,grateful for your,kind gift to,me.,B,Error: 'sincerly' should be 'sincerely' (ely).,,,3,45,17
Spelling_632,The brave soldier,fought in the,war for his,country.,N,No error.,,,8,49,17
Spelling_633,My stomache hurts,after eating all,those green apples,today.,A,Error: 'stomache' should be 'stomach' (mach).,,,6,57,18
Spelling_634,We have suficient,time to finish,the exam paper,now.,B,Error: 'suficient' should be 'sufficient' (ffi).,,,4,49,17
Spelling_635,I suggest that,we go home,before it gets,dark.,N,No error.,,,5,43,14
Spelling_636,This rule will,supercede all the,previous rules from,now.,B,Error: 'supercede' should be 'supersede' (sede).,,,4,54,19
Spelling_637,It was a,lovely suprise to,see you at,party.,B,Error: 'suprise' should be 'surprise' (sur).,,,6,41,17
Spelling_638,The solar system,contains eight planets,orbiting the sun,bright.,N,No error.,,,7,61,22
Spelling_639,He got a,tatoo of a,dragon on his,back.,B,Error: 'tatoo' should be 'tattoo' (tt).,,,5,36,13
Spelling_640,The room temperture,was too hot,for us to,work.,B,Error: 'temperture' should be 'temperature' (era).,,,5,44,19
Spelling_641,He has a,tendancy to speak,too loudly in,class.,B,Error: 'tendancy' should be 'tendency' (ency).,,,6,44,17
Spelling_642,I think therefor,I am said,Descartes a long,time.,B,Error: 'therefor' should be 'therefore' (fore).,,,5,46,16
Spelling_643,He stood on,the threshhold of,a new career,path.,B,Error: 'threshhold' should be 'threshold' (sh).,,,5,45,17
Spelling_644,Be very through,when you check,your work for,errors.,B,Error: 'through' should be 'thorough' (thor).,,,7,49,15
Spelling_645,I will see,you tommorow at,the school gate,early.,B,Error: 'tommorow' should be 'tomorrow' (rr).,,,6,46,15
Spelling_646,The hot soup,burnt my tounge,when I tasted,it.,B,Error: 'tounge' should be 'tongue' (gue).,,,3,43,15
Spelling_647,It was a,tragedy when the,ship sank at,sea.,N,No error.,,,4,40,16
Spelling_648,I am truely,sorry for breaking,your favourite vase,mum.,B,Error: 'truely' should be 'truly' (uly).,,,4,52,19
Spelling_649,The twelth of,December is my,sister's birthday,date.,A,Error: 'twelth' should be 'twelfth' (fth).,,,5,49,17
Spelling_650,The delay was,unforseen by the,train company,staff.,B,Error: 'unforseen' should be 'unforeseen' (fore).,,,6,48,16
Spelling_651,Unfortunatly I cannot,come to your,party on Saturday,night.,A,Error: 'Unfortunatly' should be 'Unfortunately' (ately).,,,6,56,21
Spelling_652,Wait untill the,traffic light turns,green before you,cross.,A,Error: 'untill' should be 'until' (til).,,,6,56,19
Spelling_653,There is a,wide variaty of,food at the,buffet.,B,Error: 'variaty' should be 'variety' (iet).,,,7,43,15
Spelling_654,Vegetarians do not,eat meat but,eat vegtable dishes,instead.,C,Error: 'vegtable' should be 'vegetable' (get).,,,8,57,19
Spelling_655,The police veichle,chased the stolen,car down the,road.,A,Error: 'veichle' should be 'vehicle' (hic).,,,5,52,18
Spelling_656,The small village,has a shop,and a post,office.,N,No error.,,,7,44,17
Spelling_657,That is a,wierd thing to,say to your,teacher.,B,Error: 'wierd' should be 'weird' (ei).,,,8,42,14
Spelling_658,You can sit,whereever you like,in the classroom,today.,B,Error: 'whereever' should be 'wherever' (ver).,,,6,51,18
Spelling_659,Wich one of,these cakes would,you like to,eat?,A,Error: 'Wich' should be 'Which' (Whi).,,,4,43,17
Spelling_660,The withdrawal of,troops signaled the,end of the,war.,N,No error.,,,4,50,19
Spelling_661,Do not withold,the truth from,your parents or,teachers.,B,Error: 'withold' should be 'withhold' (hh).,,,9,52,15
Spelling_662,He is writting,a long letter,to his pen,friend.,A,Error: 'writting' should be 'writing' (rit).,,,7,44,14
Spelling_663,The luxury yatch,sailed into the,harbour at sunset,time.,A,Error: 'yatch' should be 'yacht' (cht).,,,5,53,17
Spelling_664,Her absence from,school was due,to a bad,cold.,N,No error.,,,5,43,16
Spelling_665,An abundence of,wild flowers grew,in the meadow,field.,B,Error: 'abundence' should be 'abundance' (ance).,,,6,51,17
Spelling_666,The ramp makes,the shop accesable,to wheelchair,users.,B,Error: 'accesable' should be 'accessible' (ible).,,,6,51,18
Spelling_667,I accidently deleted,my homework from,the computer last,night.,A,Error: 'accidently' should be 'accidentally' (ally).,,,6,59,20
Spelling_668,The hotel can,accommodate up to,fifty guests at,once.,N,No error.,,,5,50,17
Spelling_669,Will you accompany,me to the,shops to buy,shoes?,N,No error.,,,6,45,18
Spelling_670,Everything went according,to plan for,the school play,performance.,N,No error.,,,11,63,25
Spelling_671,You can acheive,anything if you,work hard enough,for it.,B,Error: 'acheive' should be 'achieve' (ie).,,,7,53,16
Spelling_672,The bridge accross,the river is,closed for repairs,today.,A,Error: 'accross' should be 'across' (ross).,,,6,54,18
Spelling_673,I lost the,paper with your,adress written on,it.,C,Error: 'adress' should be 'address' (ddress).,,,3,45,17
Spelling_674,Some dogs can,be agressive if,they are scared,badly.,B,Error: 'agressive' should be 'aggressive' (ggr).,,,6,49,15
Spelling_675,The amature dramatic,society put on,a play last,week.,A,Error: 'amature' should be 'amateur' (ateur).,,,5,50,20
Spelling_676,Do not analyse,the poem too,much just enjoy,it.,N,No error.,,,3,44,15
Spelling_677,My ancestory can,be traced back,hundreds of years,ago.,A,Error: 'ancestory' should be 'ancestry' (cestry).,,,4,51,17
Spelling_678,The ancient Romans,built straight roads,across the whole,country.,N,No error.,,,8,62,20
Spelling_679,The anual fair,takes place in,the village every,summer.,B,Error: 'anual' should be 'annual' (nnu).,,,7,52,17
Spelling_680,I felt anxous,before the big,exam started this,morning.,B,Error: 'anxous' should be 'anxious' (ious).,,,8,52,17
Spelling_681,He owed me,an apology for,being so rude,yesterday.,N,No error.,,,10,47,14
Spelling_682,Use an apostrphe,to show possession,in your writing,please.,B,Error: 'apostrphe' should be 'apostrophe' (phe).,,,7,56,18
Spelling_683,The gym aparatas,must be used,safely at all,times.,B,Error: 'aparatas' should be 'apparatus' (paratus).,,,6,47,16
Spelling_684,It became apparant,that we were,lost in the,woods.,B,Error: 'apparant' should be 'apparent' (rent).,,,6,47,18
Spelling_685,His smart apperance,impressed the interview,panel very much,indeed.,A,Error: 'apperance' should be 'appearance' (pear).,,,7,64,23
Spelling_686,I appreciate your,kindness in helping,me with my,work.,N,No error.,,,5,51,19
Spelling_687,Does your mother,aprove of you,staying out so,late?,B,Error: 'aprove' should be 'approve' (ppro).,,,5,48,16
Spelling_688,The artic fox,is white to,hide in the,snow.,A,Error: 'artic' should be 'arctic' (rctic).,,,5,40,13
Spelling_689,It is silly,to argue about,such small things,now.,N,No error.,,,4,46,17
Spelling_690,The arguement was,loud and could,be heard by,all.,A,Error: 'arguement' should be 'argument' (gument).,,,4,46,17
Spelling_691,Can you arrange,a meeting for,next week some,time?,N,No error.,,,5,47,15
Spelling_692,Read the articale,in the newspaper,about the local,school.,A,Error: 'articale' should be 'article' (ticle).,,,7,55,17
Spelling_693,The famous artest,painted a portrait,of the Queen,recently.,A,Error: 'artest' should be 'artist' (tist).,,,9,56,18
Spelling_694,I asume that,you are coming,to the party,tonight.,A,Error: 'asume' should be 'assume' (ssume).,,,8,46,14
Spelling_695,The athlete trained,hard for the,Olympic Games this,year.,N,No error.,,,5,54,19
Spelling_696,Find the country,in the atlas,on page fifty,four.,N,No error.,,,5,46,16
Spelling_697,Please attach this,label to your,suitcase before you,fly.,N,No error.,,,4,54,19
Spelling_698,I will attempt,to climb the,mountain if it,is dry.,N,No error.,,,7,47,14
Spelling_699,You must attend,school every day,unless you are,ill.,N,No error.,,,4,49,16
Spelling_700,The audiance clapped,loudly at the,end of the,play.,A,Error: 'audiance' should be 'audience' (dience).,,,5,48,20
Spelling_701,The leaves fall,from trees in,autum time every,year.,C,Error: 'autum' should be 'autumn' (tumn).,,,5,49,16
Spelling_702,Is this seat,avalible or is,someone sitting here,now?,B,Error: 'avalible' should be 'available' (vailable).,,,4,50,20
Spelling_703,The average temperature,in July is,usually quite high,here.,N,No error.,,,5,56,23
Spelling_704,The smell was,awfull and made,me feel quite,sick.,B,Error: 'awfull' should be 'awful' (wful).,,,5,46,15
Spelling_705,It was an,akward moment when,I forgot his,name.,B,Error: 'akward' should be 'awkward' (awkward).,,,5,44,18
Spelling_706,The baby slept,peacefully in her,cot all night,long.,N,No error.,,,5,49,17
Spelling_707,Try to keep,your ballance on,the narrow wooden,beam.,B,Error: 'ballance' should be 'balance' (lance).,,,5,49,17
Spelling_708,The red ballon,floated up into,the blue sky,high.,B,Error: 'ballon' should be 'balloon' (lloon).,,,5,46,15
Spelling_709,I bought this,shirt at a,bargin price in,sales.,C,Error: 'bargin' should be 'bargain' (rgain).,,,6,44,15
Spelling_710,Basicly you need,to add flour,and water to,mix.,A,Error: 'Basicly' should be 'Basically' (sically).,,,4,44,16
Spelling_711,The bride looked,beatiful in her,white wedding dress,today.,B,Error: 'beatiful' should be 'beautiful' (eauti).,,,6,56,19
Spelling_712,In the begining,God created the,heavens and the,earth.,B,Error: 'begining' should be 'beginning' (ginning).,,,6,51,15
Spelling_713,I beleive in,ghosts because I,saw one last,night.,A,Error: 'beleive' should be 'believe' (lieve).,,,6,46,16
Spelling_714,Fresh fruit is,benefitial to your,health and well,being.,B,Error: 'benefitial' should be 'beneficial' (ficial).,,,6,53,18
Spelling_715,Have a biscut,with your cup,of tea in,afternoon.,B,Error: 'biscut' should be 'biscuit' (scuit).,,,9,45,13
Spelling_716,It was a,bizzare story that,nobody believed was,true.,B,Error: 'bizzare' should be 'bizarre' (zarre).,,,5,50,19
Spelling_717,The river forms,a natural boundry,between the two,countries.,B,Error: 'boundry' should be 'boundary' (dary).,,,10,57,17
Spelling_718,Take a deep,breath before you,start to speak,loudly.,N,No error.,,,7,49,17
Spelling_719,It is hard,to breathe at,high altitudes up,mountains.,N,No error.,,,10,50,17
Spelling_720,The diamond shone,with a briliant,light in the,sun.,B,Error: 'briliant' should be 'brilliant' (lliant).,,,4,48,17
Spelling_721,I do not,like eating brocoli,or cabbage very,much.,B,Error: 'brocoli' should be 'broccoli' (occoli).,,,5,47,19
Spelling_722,He has a,large bruise on,his leg from,falling.,N,No error.,,,8,43,15
Spelling_723,The buisness is,closed on Sundays,and Bank Holidays,now.,A,Error: 'buisness' should be 'business' (siness).,,,4,53,17
Spelling_724,Look at the,calender to find,the date of,Easter.,B,Error: 'calender' should be 'calendar' (endar).,,,7,45,16
Spelling_725,I cannot come,to your party,because I am,ill.,N,No error.,,,4,42,13
Spelling_726,He is a,very capable student,who works hard,always.,N,No error.,,,7,48,20
Spelling_727,The captians of,the teams met,in the centre,circle.,A,Error: 'captians' should be 'captains' (ptains).,,,7,48,15
Spelling_728,He wants a,carrer as a,pilot flying big,jets.,B,Error: 'carrer' should be 'career' (areer).,,,5,42,16
Spelling_729,The pirates sailed,the Carribean sea,looking for gold,treasure.,B,Error: 'Carribean' should be 'Caribbean' (ribbean).,,,9,60,18
Spelling_730,This book fits,into the horror,catagory of fiction,stories.,C,Error: 'catagory' should be 'category' (tegory).,,,8,56,19
Spelling_731,The fire was,the cause of,the damage to,house.,N,No error.,,,6,43,13
Spelling_732,The high cieling,made the room,feel very cold,indeed.,B,Error: 'cieling' should be 'ceiling' (eiling).,,,7,50,16
Spelling_733,We will celabrate,your birthday with,a big party,tomorrow.,B,Error: 'celabrate' should be 'celebrate' (lebrate).,,,9,55,18
Spelling_734,The ghosts haunt,the old cemetary,at midnight every,night.,B,Error: 'cemetary' should be 'cemetery' (etery).,,,6,55,17
Spelling_735,I am certain,that I left,my keys on,table.,N,No error.,,,6,39,12
Spelling_736,The weather is,changeable so bring,an umbrella just,incase.,N,No error.,,,7,56,19
Spelling_737,He is a,character in the,book I am,reading.,N,No error.,,,7,40,16
Spelling_738,The army cheif,gave orders to,his troops at,dawn.,B,Error: 'cheif' should be 'chief' (hief).,,,5,46,14
Spelling_739,The child played,happily with her,toys in the,garden.,N,No error.,,,7,50,16
Spelling_740,The chior sang,hymns in the,church on Sunday,morning.,B,Error: 'chior' should be 'choir' (hoir).,,,8,50,16
Spelling_741,He lit a,cigerette and smoked,it outside the,shop.,B,Error: 'cigerette' should be 'cigarette' (garette).,,,5,47,20
Spelling_742,Let's go to,the cinama to,see a film,tonight.,B,Error: 'cinama' should be 'cinema' (inema).,,,8,42,13
Spelling_743,The electric circut,was broken so,the bell did,ring.,B,Error: 'circut' should be 'circuit' (rcuit).,,,5,49,19
Spelling_744,He is a,senior citezen and,gets a free,bus pass.,B,Error: 'citezen' should be 'citizen' (tizen).,,,7,45,18
Spelling_745,Put your clean,clothes away in,the drawer right,now.,N,No error.,,,4,49,16
Spelling_746,The football coach,trained the team,hard for the,match.,N,No error.,,,6,52,18
Spelling_747,My collegue at,work is very,helpful and kind,always.,B,Error: 'collegue' should be 'colleague' (league).,,,7,49,16
Spelling_748,Write the answer,in the correct,colum on the,page.,C,Error: 'colum' should be 'column' (olumn).,,,5,47,16
Spelling_749,Is he comming,to the match,with us on,Saturday?,B,Error: 'comming' should be 'coming' (oming).,,,9,44,13
Spelling_750,He did not,commit the crime,he was charged,with.,N,No error.,,,5,45,16
Spelling_751,The comittee decided,to cancel the,event due to,rain.,B,Error: 'comittee' should be 'committee' (mittee).,,,5,50,20
Spelling_752,We communicate with,each other by,email and text,message.,N,No error.,,,8,54,19
Spelling_753,The local comunity,centre is open,to everyone all,day.,B,Error: 'comunity' should be 'community' (mm).,,,4,51,18
Spelling_754,I entered a,competition to win,a holiday to,Spain.,N,No error.,,,6,47,18
Spelling_755,The compitition was,very fierce between,the two top,teams.,A,Error: 'compitition' should be 'competition' (pet).,,,6,55,19
Spelling_756,I am completely,finished with my,homework for the,weekend.,N,No error.,,,8,55,16
Spelling_757,You must concentrate,on your work,to get good,grades.,N,No error.,,,7,50,20
Spelling_758,My concience told,me to own,up to my,mistake.,B,Error: 'concience' should be 'conscience' (science).,,,8,42,17
Spelling_759,He was concious,when the ambulance,arrived at the,scene.,B,Error: 'concious' should be 'conscious' (scious).,,,6,53,18
Spelling_760,The plan was,concieved in secret,by the rebel,leaders.,B,Error: 'concieved' should be 'conceived' (cei).,,,8,51,19
Spelling_761,I condemn violence,of any kind,in our peaceful,society.,N,No error.,,,8,52,18
Spelling_762,The car is,in good condition,for its age,really.,N,No error.,,,7,45,17
Spelling_763,I am confidant,that I can,pass the driving,test.,B,Error: 'confidant' should be 'confident' (ent).,,,5,45,16
Spelling_764,He has a,guilty conscience about,lying to his,mother.,N,No error.,,,7,50,23
Spelling_765,He became conscious,after being knocked,out by the,ball.,N,No error.,,,5,53,19
Spelling_766,The continious rain,ruined our picnic,in the park,today.,B,Error: 'continious' should be 'continuous' (nuo).,,,6,53,19
Spelling_767,There was much,contreversy about the,referee's decision today,sadly.,B,Error: 'contreversy' should be 'controversy' (tro).,,,6,65,24
Spelling_768,At your convenience,please reply to,my letter or,email.,N,No error.,,,6,52,19
Spelling_769,I corespond with,my pen pal,in France every,month.,B,Error: 'corespond' should be 'correspond' (rrespond).,,,6,47,16
Spelling_770,The town council,looks after the,parks and roads,well.,N,No error.,,,5,51,16
Spelling_771,The legal counsel,advised him to,remain silent in,court.,N,No error.,,,6,53,17
Spelling_772,The fireman was,corageous and saved,the cat from,fire.,B,Error: 'corageous' should be 'courageous' (oura).,,,5,51,19
Spelling_773,Always be courtious,to customers in,the shop at,work.,A,Error: 'courtious' should be 'courteous' (teous).,,,5,50,19
Spelling_774,Do not critisise,the food that,is cooked for,you.,B,Error: 'critisise' should be 'criticise' (tic).,,,4,46,16
Spelling_775,Curiosity killed the,cat is an,old saying we,use.,N,No error.,,,4,46,20
Spelling_776,He was curious,to see what,was inside the,parcel.,N,No error.,,,7,46,14
Spelling_777,The engine cylannder,was cracked and,leaking oil on,floor.,B,Error: 'cylannder' should be 'cylinder' (linder).,,,6,55,20
Spelling_778,Do not decieve,yourself into thinking,it will be,easy.,B,Error: 'decieve' should be 'deceive' (cei).,,,5,51,22
Spelling_779,You must decide,which path to,take at the,junction.,N,No error.,,,9,48,15
Spelling_780,It was a,hard decision to,make but I,made.,N,No error.,,,5,39,16
Spelling_781,I will give,you a definate,answer by tomorrow,morning.,B,Error: 'definate' should be 'definite' (nite).,,,8,51,18
Spelling_782,The cake looks,deliscious with all,that cream and,jam.,B,Error: 'deliscious' should be 'delicious' (licious).,,,4,51,19
Spelling_783,I am delighted,to meet you,at last my,friend.,N,No error.,,,7,42,14
Spelling_784,We watched the,plane descend from,the sky to,land.,N,No error.,,,5,47,18
Spelling_785,Can you discribe,the man who,stole your bag,please?,B,Error: 'discribe' should be 'describe' (des).,,,7,48,16
Spelling_786,Write a description,of your best,friend for your,homework.,N,No error.,,,9,55,19
Spelling_787,The sahara desert,is full of,sand and very,hot.,N,No error.,,,4,44,17
Spelling_788,He was desparate,for a glass,of water in,heat.,B,Error: 'desparate' should be 'desperate' (sper).,,,5,43,16
Spelling_789,We want to,develope a new,app for the,phone.,B,Error: 'develope' should be 'develop' (lop).,,,6,41,14
Spelling_790,Keep a diary,of your holiday,to remember it,by.,N,No error.,,,3,44,15
Spelling_791,Use a dictionary,to check your,spelling of hard,words.,N,No error.,,,6,51,16
Spelling_792,Flowers will die,if you do,not water them,often.,N,No error.,,,6,45,16
Spelling_793,My car is,different to yours,because it is,red.,N,No error.,,,4,44,18
Spelling_794,It is dificult,to learn a,new language as,adult.,B,Error: 'dificult' should be 'difficult' (ff).,,,6,45,15
Spelling_795,The fog will,disapear when the,sun comes out,later.,B,Error: 'disapear' should be 'disappear' (pp).,,,6,48,17
Spelling_796,Do not dissapoint,me by being,late for the,meeting.,B,Error: 'dissapoint' should be 'disappoint' (pp).,,,8,48,17
Spelling_797,The earthquake was,a terrible disaster,for the whole,region.,N,No error.,,,7,57,19
Spelling_798,A disasterous,performance by,the band on,stage.,A,Error: 'disasterous' should be 'disastrous' (strous).,,,6,44,14
