Question,Image,Option A,Option B,Option C,Option D,Option E,Answer,Difficulty,Topic,Type,Ref
How many millilitres are there in 19 centilitres?,,1.9 ml,19 ml,190 ml,1900 ml,190000 ml,190 ml,27,Measures - Unit Conversion,Multiple Choice,P3Q27_34
How many kilograms are there in 3.95 tonnes?,,3.95 kg,39.5 kg,395 kg,3950 kg,39500 kg,3950 kg,27,Measures - Unit Conversion,Multiple Choice,P3Q27_35
How many grams are there in 2.46 milligrams?,,0.000246 g,0.00246 g,0.0246 g,0.246 g,2.46 g,0.00246 g,27,Measures - Unit Conversion,Multiple Choice,P3Q27_36
How many milligrams are there in 36 grams?,,36 mg,36000 mg,360000 mg,3600000 mg,36000000 mg,36000 mg,27,Measures - Unit Conversion,Multiple Choice,P3Q27_37
How many milligrams are there in 0.75 grams?,,0.75 mg,7.5 mg,75 mg,750 mg,7500 mg,750 mg,27,Measures - Unit Conversion,Multiple Choice,P3Q27_38
How many millilitres are there in 0.1 centilitres?,,0.1 ml,1 ml,10 ml,100 ml,1000 ml,1 ml,27,Measures - Unit Conversion,Multiple Choice,P3Q27_39
How many metres are there in 5.42 kilometres?,,5.42 m,54.2 m,5420 m,542000 m,5420000 m,5420 m,27,Measures - Unit Conversion,Multiple Choice,P3Q27_40
How many millimetres are there in 0.008 metres?,,0.08 mm,0.8 mm,8 mm,800 mm,8000 mm,8 mm,27,Measures - Unit Conversion,Multiple Choice,P3Q27_41
How many metres are there in 41 kilometres?,,41 m,4100 m,41000 m,4100000 m,41000000 m,41000 m,27,Measures - Unit Conversion,Multiple Choice,P3Q27_42
How many grams are there in 0.07 kilograms?,,0.07 g,0.7 g,7 g,70 g,70000 g,70 g,27,Measures - Unit Conversion,Multiple Choice,P3Q27_43
How many centimetres are there in 0.03 metres?,,0.03 cm,0.3 cm,3 cm,300 cm,3000 cm,3 cm,27,Measures - Unit Conversion,Multiple Choice,P3Q27_44
How many millilitres are there in 8.03 centilitres?,,0.803 ml,8.03 ml,80.3 ml,803 ml,80300 ml,80.3 ml,27,Measures - Unit Conversion,Multiple Choice,P3Q27_45
How many centimetres are there in 1.73 metres?,,0.173 cm,1.73 cm,173 cm,1730 cm,173000 cm,173 cm,27,Measures - Unit Conversion,Multiple Choice,P3Q27_46
How many grams are there in 2.5 kilograms?,,2.5 g,2500 g,25000 g,250000 g,2500000 g,2500 g,27,Measures - Unit Conversion,Multiple Choice,P3Q27_47
How many millilitres are there in 0.004 centilitres?,,0.0004 ml,0.04 ml,0.4 ml,4 ml,40 ml,0.04 ml,27,Measures - Unit Conversion,Multiple Choice,P3Q27_48
How many centimetres are there in 2.35 metres?,,0.235 cm,2.35 cm,235 cm,2350 cm,23500 cm,235 cm,27,Measures - Unit Conversion,Multiple Choice,P3Q27_49
How many metres are there in 3.01 kilometres?,,3.01 m,301 m,3010 m,301000 m,3010000 m,3010 m,27,Measures - Unit Conversion,Multiple Choice,P3Q27_50
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_1.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_1
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_2.png,A,B,C,D,E,C,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_2
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_3.png,A,B,C,D,E,A,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_3
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_4.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_4
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_5.png,A,B,C,D,E,C,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_5
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_6.png,A,B,C,D,E,B,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_6
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_7.png,A,B,C,D,E,D,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_7
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_8.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_8
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_9.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_9
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_10.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_10
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_11.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_11
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_12.png,A,B,C,D,E,C,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_12
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_13.png,A,B,C,D,E,B,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_13
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_14.png,A,B,C,D,E,C,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_14
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_15.png,A,B,C,D,E,E,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_15
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_16.png,A,B,C,D,E,B,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_16
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_17.png,A,B,C,D,E,A,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_17
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_18.png,A,B,C,D,E,A,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_18
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_19.png,A,B,C,D,E,C,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_19
"All the sides of Alfie's tiles are the same length.
Alfie can make any of these solids with his tiles except one.
Which solid can Alfie NOT make with his tiles?",P4Q27_20.png,A,B,C,D,E,B,27,Geometry - 3D Shapes,Multiple Choice,P4Q27_20
"James gets £2.00 pocket money each week.
Sarah gets twice as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£104.00,£4.00,£40.00,£16.00,£208.00,£208.00,28,Money,Multiple Choice,P4Q28_1
"David gets £6.40 pocket money each week.
James gets half as much.
If James saves all of this pocket money for a whole year, how much money will be saved?",,£32.00,£3.20,£332.80,£12.80,£166.40,£166.40,28,Money,Multiple Choice,P4Q28_2
"Emily gets £4.80 pocket money each week.
Peter gets half as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£9.60,£2.40,£124.80,£24.00,£249.60,£124.80,28,Money,Multiple Choice,P4Q28_3
"Jonathan gets £3.60 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£7.20,£374.40,£187.20,£72.00,£28.80,£374.40,28,Money,Multiple Choice,P4Q28_4
"Emily gets £2.00 pocket money each week.
David gets twice as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£40.00,£104.00,£208.00,£16.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_5
"Simon gets £3.60 pocket money each week.
Sarah gets half as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£187.20,£7.20,£18.00,£93.60,£1.80,£93.60,28,Money,Multiple Choice,P4Q28_6
"Emily gets £6.40 pocket money each week.
Sarah gets half as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£332.80,£3.20,£166.40,£12.80,£32.00,£166.40,28,Money,Multiple Choice,P4Q28_7
"Simon gets £8.00 pocket money each week.
Emily gets half as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£40.00,£208.00,£4.00,£16.00,£416.00,£208.00,28,Money,Multiple Choice,P4Q28_8
"James gets £5.00 pocket money each week.
Sarah gets half as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£25.00,£2.50,£130.00,£260.00,£10.00,£130.00,28,Money,Multiple Choice,P4Q28_9
"Jonathan gets £4.80 pocket money each week.
Sarah gets half as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£9.60,£124.80,£24.00,£2.40,£249.60,£124.80,28,Money,Multiple Choice,P4Q28_10
"James gets £4.80 pocket money each week.
Simon gets half as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£124.80,£249.60,£24.00,£2.40,£9.60,£124.80,28,Money,Multiple Choice,P4Q28_11
"Peter gets £2.00 pocket money each week.
Jonathan gets twice as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£208.00,£4.00,£104.00,£40.00,£16.00,£208.00,28,Money,Multiple Choice,P4Q28_12
"Simon gets £2.40 pocket money each week.
Emily gets half as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£62.40,£124.80,£12.00,£1.20,£4.80,£62.40,28,Money,Multiple Choice,P4Q28_13
"James gets £3.00 pocket money each week.
Sarah gets half as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£78.00,£156.00,£6.00,£15.00,£1.50,£78.00,28,Money,Multiple Choice,P4Q28_14
"Sarah gets £3.60 pocket money each week.
Emily gets twice as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£187.20,£374.40,£7.20,£72.00,£28.80,£374.40,28,Money,Multiple Choice,P4Q28_15
"Sarah gets £2.40 pocket money each week.
David gets half as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£4.80,£12.00,£1.20,£62.40,£124.80,£62.40,28,Money,Multiple Choice,P4Q28_16
"Emily gets £2.00 pocket money each week.
Peter gets twice as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£208.00,£40.00,£16.00,£104.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_17
"David gets £2.00 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£16.00,£40.00,£4.00,£104.00,£208.00,£208.00,28,Money,Multiple Choice,P4Q28_18
"Simon gets £2.00 pocket money each week.
David gets twice as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£208.00,£104.00,£16.00,£40.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_19
"James gets £2.00 pocket money each week.
Peter gets twice as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£4.00,£40.00,£16.00,£104.00,£208.00,£208.00,28,Money,Multiple Choice,P4Q28_20
"David gets £3.00 pocket money each week.
Sarah gets half as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£1.50,£78.00,£156.00,£15.00,£6.00,£78.00,28,Money,Multiple Choice,P4Q28_21
"Emily gets £2.00 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£40.00,£16.00,£104.00,£208.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_22
"Simon gets £4.20 pocket money each week.
Emily gets half as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£21.00,£8.40,£109.20,£2.10,£218.40,£109.20,28,Money,Multiple Choice,P4Q28_23
"Emily gets £2.40 pocket money each week.
Peter gets twice as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£4.80,£124.80,£48.00,£249.60,£19.20,£249.60,28,Money,Multiple Choice,P4Q28_24
"James gets £4.80 pocket money each week.
Peter gets half as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£9.60,£249.60,£24.00,£124.80,£2.40,£124.80,28,Money,Multiple Choice,P4Q28_25
"Jonathan gets £8.00 pocket money each week.
James gets half as much.
If James saves all of this pocket money for a whole year, how much money will be saved?",,£16.00,£416.00,£4.00,£208.00,£40.00,£208.00,28,Money,Multiple Choice,P4Q28_26
"David gets £3.60 pocket money each week.
Sarah gets twice as much.
If Sarah saves all of this pocket money for a whole year, how much money will be saved?",,£187.20,£7.20,£72.00,£374.40,£28.80,£374.40,28,Money,Multiple Choice,P4Q28_27
"David gets £3.00 pocket money each week.
Emily gets half as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£78.00,£1.50,£15.00,£6.00,£156.00,£78.00,28,Money,Multiple Choice,P4Q28_28
"Peter gets £2.00 pocket money each week.
David gets twice as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£208.00,£16.00,£4.00,£40.00,£104.00,£208.00,28,Money,Multiple Choice,P4Q28_29
"James gets £3.00 pocket money each week.
Peter gets twice as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£6.00,£156.00,£312.00,£24.00,£60.00,£312.00,28,Money,Multiple Choice,P4Q28_30
"Peter gets £2.00 pocket money each week.
David gets twice as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£40.00,£208.00,£16.00,£104.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_31
"David gets £8.00 pocket money each week.
Simon gets half as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£208.00,£16.00,£416.00,£4.00,£40.00,£208.00,28,Money,Multiple Choice,P4Q28_32
"Simon gets £5.00 pocket money each week.
Jonathan gets half as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£25.00,£2.50,£10.00,£130.00,£260.00,£130.00,28,Money,Multiple Choice,P4Q28_33
"Simon gets £2.00 pocket money each week.
Jonathan gets twice as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£4.00,£104.00,£40.00,£208.00,£16.00,£208.00,28,Money,Multiple Choice,P4Q28_34
"Sarah gets £3.00 pocket money each week.
Jonathan gets half as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£78.00,£156.00,£1.50,£15.00,£6.00,£78.00,28,Money,Multiple Choice,P4Q28_35
"Peter gets £2.40 pocket money each week.
Jonathan gets half as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£4.80,£124.80,£1.20,£62.40,£12.00,£62.40,28,Money,Multiple Choice,P4Q28_36
"Jonathan gets £5.00 pocket money each week.
Simon gets half as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£2.50,£10.00,£25.00,£260.00,£130.00,£130.00,28,Money,Multiple Choice,P4Q28_37
"Jonathan gets £5.00 pocket money each week.
Simon gets half as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£2.50,£260.00,£130.00,£10.00,£25.00,£130.00,28,Money,Multiple Choice,P4Q28_38
"Simon gets £4.20 pocket money each week.
Peter gets half as much.
If Peter saves all of this pocket money for a whole year, how much money will be saved?",,£21.00,£8.40,£2.10,£109.20,£218.40,£109.20,28,Money,Multiple Choice,P4Q28_39
"James gets £2.00 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£16.00,£208.00,£40.00,£104.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_40
"Jonathan gets £2.00 pocket money each week.
Emily gets twice as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£4.00,£16.00,£104.00,£208.00,£40.00,£208.00,28,Money,Multiple Choice,P4Q28_41
"Peter gets £4.20 pocket money each week.
James gets half as much.
If James saves all of this pocket money for a whole year, how much money will be saved?",,£21.00,£2.10,£8.40,£218.40,£109.20,£109.20,28,Money,Multiple Choice,P4Q28_42
"Peter gets £2.00 pocket money each week.
David gets twice as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£104.00,£4.00,£40.00,£16.00,£208.00,£208.00,28,Money,Multiple Choice,P4Q28_43
"Peter gets £2.00 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£16.00,£40.00,£4.00,£104.00,£208.00,£208.00,28,Money,Multiple Choice,P4Q28_44
"David gets £2.40 pocket money each week.
Jonathan gets half as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£124.80,£12.00,£62.40,£1.20,£4.80,£62.40,28,Money,Multiple Choice,P4Q28_45
"Peter gets £3.00 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£156.00,£6.00,£24.00,£60.00,£312.00,£312.00,28,Money,Multiple Choice,P4Q28_46
"Simon gets £2.00 pocket money each week.
Emily gets twice as much.
If Emily saves all of this pocket money for a whole year, how much money will be saved?",,£16.00,£208.00,£40.00,£104.00,£4.00,£208.00,28,Money,Multiple Choice,P4Q28_47
"Sarah gets £2.00 pocket money each week.
David gets twice as much.
If David saves all of this pocket money for a whole year, how much money will be saved?",,£4.00,£208.00,£104.00,£16.00,£40.00,£208.00,28,Money,Multiple Choice,P4Q28_48
"Emily gets £2.00 pocket money each week.
Simon gets twice as much.
If Simon saves all of this pocket money for a whole year, how much money will be saved?",,£4.00,£40.00,£208.00,£16.00,£104.00,£208.00,28,Money,Multiple Choice,P4Q28_49
"David gets £3.60 pocket money each week.
Jonathan gets twice as much.
If Jonathan saves all of this pocket money for a whole year, how much money will be saved?",,£374.40,£28.80,£187.20,£7.20,£72.00,£374.40,28,Money,Multiple Choice,P4Q28_50
"Ava earns £24.00 from a Saturday job. Ava is paid at the end of each week. If Ava saves all the money, how many weeks must Ava work before Ava can buy the Headphones shown?",P3Q29_1.png,5,6,4,7,8,6,29,Number - Multiplication and Division,Multiple Choice,P3Q29_1
"William earns £30.50 from a car washing job. William is paid at the end of each week. If William saves all the money, how many weeks must William work before William can buy the Skateboard shown?",P3Q29_2.png,4,2,5,3,6,4,29,Number - Multiplication and Division,Multiple Choice,P3Q29_2
"Ravi earns £13.00 from a babysitting job. Ravi is paid at the end of each week. If Ravi saves all the money, how many weeks must Ravi work before Ravi can buy the Smart Watch shown?",P3Q29_3.png,14,13,16,17,15,15,29,Number - Multiplication and Division,Multiple Choice,P3Q29_3
"Oliver earns £31.75 from a babysitting job. Oliver is paid at the end of each week. If Oliver saves all the money, how many weeks must Oliver work before Oliver can buy the Headphones shown?",P3Q29_4.png,6,5,2,3,4,4,29,Number - Multiplication and Division,Multiple Choice,P3Q29_4
"Liam earns £22.50 from a gardening job. Liam is paid at the end of each week. If Liam saves all the money, how many weeks must Liam work before Liam can buy the Bicycle shown?",P3Q29_5.png,8,4,6,7,5,6,29,Number - Multiplication and Division,Multiple Choice,P3Q29_5
"Harper earns £32.00 from a weekly paper round. Harper is paid at the end of each week. If Harper saves all the money, how many weeks must Harper work before Harper can buy the Tablet shown?",P3Q29_6.png,11,12,13,10,14,12,29,Number - Multiplication and Division,Multiple Choice,P3Q29_6
"Oliver earns £25.25 from a babysitting job. Oliver is paid at the end of each week. If Oliver saves all the money, how many weeks must Oliver work before Oliver can buy the Skateboard shown?",P3Q29_7.png,1,2,4,6,3,2,29,Number - Multiplication and Division,Multiple Choice,P3Q29_7
"Lucas earns £15.50 from a weekly paper round. Lucas is paid at the end of each week. If Lucas saves all the money, how many weeks must Lucas work before Lucas can buy the Mobile Phone shown?",P3Q29_8.png,16,17,18,19,15,17,29,Number - Multiplication and Division,Multiple Choice,P3Q29_8
"Emma earns £25.00 from a dog walking service. Emma is paid at the end of each week. If Emma saves all the money, how many weeks must Emma work before Emma can buy the Bicycle shown?",P3Q29_9.png,6,4,5,8,7,6,29,Number - Multiplication and Division,Multiple Choice,P3Q29_9
"Noah earns £20.50 from a car washing job. Noah is paid at the end of each week. If Noah saves all the money, how many weeks must Noah work before Noah can buy the Game Console shown?",P3Q29_10.png,16,17,15,18,14,16,29,Number - Multiplication and Division,Multiple Choice,P3Q29_10
"Sophia earns £40.25 from a weekly paper round. Sophia is paid at the end of each week. If Sophia saves all the money, how many weeks must Sophia work before Sophia can buy the Skateboard shown?",P3Q29_11.png,1,4,3,2,5,3,29,Number - Multiplication and Division,Multiple Choice,P3Q29_11
"Henry earns £18.00 from a car washing job. Henry is paid at the end of each week. If Henry saves all the money, how many weeks must Henry work before Henry can buy the Game Console shown?",P3Q29_12.png,17,15,16,14,18,16,29,Number - Multiplication and Division,Multiple Choice,P3Q29_12
"Amelia earns £33.00 from a babysitting job. Amelia is paid at the end of each week. If Amelia saves all the money, how many weeks must Amelia work before Amelia can buy the Headphones shown?",P3Q29_13.png,6,5,7,3,4,5,29,Number - Multiplication and Division,Multiple Choice,P3Q29_13
"Oliver earns £27.00 from a dog walking service. Oliver is paid at the end of each week. If Oliver saves all the money, how many weeks must Oliver work before Oliver can buy the Bicycle shown?",P3Q29_14.png,8,7,4,6,5,6,29,Number - Multiplication and Division,Multiple Choice,P3Q29_14
"Liam earns £39.25 from a gardening job. Liam is paid at the end of each week. If Liam saves all the money, how many weeks must Liam work before Liam can buy the Headphones shown?",P3Q29_15.png,2,7,4,1,3,2,29,Number - Multiplication and Division,Multiple Choice,P3Q29_15
"Noah earns £24.50 from a Saturday job. Noah is paid at the end of each week. If Noah saves all the money, how many weeks must Noah work before Noah can buy the Headphones shown?",P3Q29_16.png,6,5,7,8,4,6,29,Number - Multiplication and Division,Multiple Choice,P3Q29_16
"Evelyn earns £30.75 from a dog walking service. Evelyn is paid at the end of each week. If Evelyn saves all the money, how many weeks must Evelyn work before Evelyn can buy the Tablet shown?",P3Q29_17.png,10,12,9,13,11,11,29,Number - Multiplication and Division,Multiple Choice,P3Q29_17
"Charlotte earns £31.25 from a weekly paper round. Charlotte is paid at the end of each week. If Charlotte saves all the money, how many weeks must Charlotte work before Charlotte can buy the Camera shown?",P3Q29_18.png,12,8,10,11,9,10,29,Number - Multiplication and Division,Multiple Choice,P3Q29_18
"Amelia earns £36.75 from a car washing job. Amelia is paid at the end of each week. If Amelia saves all the money, how many weeks must Amelia work before Amelia can buy the Headphones shown?",P3Q29_19.png,5,6,4,3,2,4,29,Number - Multiplication and Division,Multiple Choice,P3Q29_19
"Emma earns £19.75 from a dog walking service. Emma is paid at the end of each week. If Emma saves all the money, how many weeks must Emma work before Emma can buy the Smart Watch shown?",P3Q29_20.png,6,8,10,7,9,8,29,Number - Multiplication and Division,Multiple Choice,P3Q29_20
"Tom is now twice his brother's age.
In 2 years' time, Tom will be 20.
How old will his brother be then?",,10,13,9,11,18,11,29,Logic,Multiple Choice,P4Q29_1
"Tom is now three times his sister's age.
In 10 years' time, Tom will be 16.
How old will his sister be then?",,6,2,14,5,12,12,29,Logic,Multiple Choice,P4Q29_2
"Ben is now three times his cousin's age.
In 10 years' time, Ben will be 25.
How old will his cousin be then?",,17,15,5,8,14,15,29,Logic,Multiple Choice,P4Q29_3
"Ben is now twice his cousin's age.
In 7 years' time, Ben will be 15.
How old will his cousin be then?",,11,8,7,13,4,11,29,Logic,Multiple Choice,P4Q29_4
"Adam is now twice his sister's age.
In 5 years' time, Adam will be 23.
How old will his sister be then?",,18,9,16,14,11,14,29,Logic,Multiple Choice,P4Q29_5
"Tom is now twice his cousin's age.
In 5 years' time, Tom will be 27.
How old will his cousin be then?",,16,13,18,22,11,16,29,Logic,Multiple Choice,P4Q29_6
"Tom is now three times his sister's age.
In 2 years' time, Tom will be 14.
How old will his sister be then?",,8,4,12,8,6,6,29,Logic,Multiple Choice,P4Q29_7
"Adam is now twice his brother's age.
In 4 years' time, Adam will be 26.
How old will his brother be then?",,17,13,11,15,22,15,29,Logic,Multiple Choice,P4Q29_8
"Adam is now twice his cousin's age.
In 7 years' time, Adam will be 29.
How old will his cousin be then?",,14,22,18,11,20,18,29,Logic,Multiple Choice,P4Q29_9
"Ian is now three times his sister's age.
In 10 years' time, Ian will be 19.
How old will his sister be then?",,9,3,6,13,15,13,29,Logic,Multiple Choice,P4Q29_10
"Tom is now three times his brother's age.
In 5 years' time, Tom will be 14.
How old will his brother be then?",,3,4,8,10,9,8,29,Logic,Multiple Choice,P4Q29_11
"Tom is now twice his sister's age.
In 10 years' time, Tom will be 24.
How old will his sister be then?",,12,17,19,7,14,17,29,Logic,Multiple Choice,P4Q29_12
"Ian is now twice his brother's age.
In 4 years' time, Ian will be 12.
How old will his brother be then?",,10,9,6,8,4,8,29,Logic,Multiple Choice,P4Q29_13
"Ben is now twice his cousin's age.
In 3 years' time, Ben will be 23.
How old will his cousin be then?",,15,20,13,10,11,13,29,Logic,Multiple Choice,P4Q29_14
"Tom is now twice his sister's age.
In 3 years' time, Tom will be 29.
How old will his sister be then?",,13,16,26,18,14,16,29,Logic,Multiple Choice,P4Q29_15
"Ian is now twice his sister's age.
In 2 years' time, Ian will be 20.
How old will his sister be then?",,18,10,13,11,9,11,29,Logic,Multiple Choice,P4Q29_16
"Ben is now three times his brother's age.
In 3 years' time, Ben will be 27.
How old will his brother be then?",,11,24,9,8,13,11,29,Logic,Multiple Choice,P4Q29_17
"Tom is now three times his brother's age.
In 8 years' time, Tom will be 14.
How old will his brother be then?",,10,12,4,6,2,10,29,Logic,Multiple Choice,P4Q29_18
"Adam is now twice his brother's age.
In 2 years' time, Adam will be 28.
How old will his brother be then?",,13,15,17,26,14,15,29,Logic,Multiple Choice,P4Q29_19
"Ian is now three times his cousin's age.
In 10 years' time, Ian will be 25.
How old will his cousin be then?",,5,15,8,17,23,15,29,Logic,Multiple Choice,P4Q29_20
"Tom is now twice his cousin's age.
In 3 years' time, Tom will be 31.
How old will his cousin be then?",,14,17,15,19,28,17,29,Logic,Multiple Choice,P4Q29_21
"Tom is now three times his sister's age.
In 3 years' time, Tom will be 18.
How old will his sister be then?",,15,10,8,6,5,8,29,Logic,Multiple Choice,P4Q29_22
"Tom is now twice his sister's age.
In 6 years' time, Tom will be 18.
How old will his sister be then?",,14,20,6,12,9,12,29,Logic,Multiple Choice,P4Q29_23
"Ian is now twice his sister's age.
In 8 years' time, Ian will be 30.
How old will his sister be then?",,11,21,22,15,19,19,29,Logic,Multiple Choice,P4Q29_24
"Ian is now three times his sister's age.
In 5 years' time, Ian will be 17.
How old will his sister be then?",,5,9,11,4,12,9,29,Logic,Multiple Choice,P4Q29_25
"Ben is now three times his sister's age.
In 5 years' time, Ben will be 26.
How old will his sister be then?",,12,8,14,21,7,12,29,Logic,Multiple Choice,P4Q29_26
"Ian is now three times his sister's age.
In 3 years' time, Ian will be 30.
How old will his sister be then?",,27,14,9,12,10,12,29,Logic,Multiple Choice,P4Q29_27
"Ben is now three times his cousin's age.
In 7 years' time, Ben will be 25.
How old will his cousin be then?",,8,13,6,15,18,13,29,Logic,Multiple Choice,P4Q29_28
"Ben is now three times his cousin's age.
In 9 years' time, Ben will be 27.
How old will his cousin be then?",,9,18,17,6,15,15,29,Logic,Multiple Choice,P4Q29_29
"Adam is now twice his brother's age.
In 3 years' time, Adam will be 19.
How old will his brother be then?",,13,9,8,16,11,11,29,Logic,Multiple Choice,P4Q29_30
